_id,date,shaperdroprcvdbyte,srcip,dstport,tz,eventtime,sessionid,type,srccountry,shaperrcvdname,mastersrcmac,action,dstip,trandisp,osname,srcintf,level,srcserver,transip,priority,vd,proto,policyname,dstcountry,devid,srcintfrole,poluuid,sentpkt,duration,policyid,subtype,srcmac,devname,dstintf,shapersentname,sentbyte,policytype,transport,shaperdropsentbyte,dstintfrole,appcat,srcname,service,srcport,logid,srcswversion,time,rcvdbyte,rcvdpkt,nifi_datetime,app,srcfamily,devtype,srchwversion,srchwvendor,unauthusersource,unauthuser,msg,sync_type,logdesc,sync_status,countweb,utmaction,srcuuid,dstuuid,catdesc,hostname,reqtype,cat,direction,method,profile,url,eventtype,src_int,policy_id,epoch,dir,dst_int,from,voip_proto,kind,session_id,call_id,src_port,event_id,dst_port,logsrc,to,status,reason,tunnelid,remip,tunneltype,user,dst_host,group,desc,sentdelta,rcvddelta,dstswversion,dsthwversion,dstdevtype,dstfamily,dsthwvendor,dstosname,ui,sn,identifier,devcategory,ip,interface,mac,dhcp_msg,lease,server,ssid,security,encryption,stamac,remotewtptime,vap,ap,authserver,crlevel,dstcity,vwlid,crscore,craction,dstreputation,dstinetsvc,masterdstmac,dstregion,dstmac,vpntype,dstserver,locip,useralt,cookies,vpntunnel,peer_notif,remport,result,assignip,xauthuser,outintf,xauthgroup,locport,espauth,role,esptransform,out_spi,in_spi,init,version,exch,dstuser,agent,ratemethod,httpmethod,radioband,channel,mpsk,signal,radioid,snr,advpnsc,nextstat,tunnelip,community,pdstport,psrcport,mode,stage,fazlograte,mem,sysuptime,disklograte,bandwidth,cpu,freediskstorage,disk,setuprate,totalsession,bssid,manuf,stacount,apscan,onwire,aptype,radioiddetected,rate,noise,live,radioidclosest,detectionmethod,apstatus,snclosest,sndetected,age,intf,fctuid,applist,apprisk,incidentserialno,scertcname,scertissuer,appid,countapp,tranip,tranport,phase2_name,cause,pid,used,total,cfgattr,cfgobj,cfgtid,cfgpath,act,hook,tuple-num,operdrmamode,opercountry,cfgtxpower,configcountry,opertxpower,slctdrmamode
vccUnZkBOc1mRMCt3aEY,2025-09-30,0,172.30.16.75,443,+0200,1759226081703517029,409862651,traffic,Reserved,web-limit,f4:a8:0d:73:30:cd,close,13.107.138.10,snat,Windows,VALN80,notice,0,2.117.144.115,189,root,6,Navigazione,United,FG100FTK23080008,lan,cb2c5284-4f32-51ef-a5ee-7792f7896b30,11,24,9,forward,f4:a8:0d:73:30:cd,Fiorucci-FG-01,wan1,web-limit,4522,policy,56137,0,wan,unscanned,ITPOME-LT1062,HTTPS,56137,0000000013,10,11:54:42,3022,10,2025-10-01T00:03:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vscUnZkBOc1mRMCt3aEY,2025-09-30,,fe80::29c:2ff:fe04:cfa8,547,+0200,1759226081729305789,2006827,traffic,,,00:9c:02:04:cf:a8,deny,ff02::1:2,noop,,VLAN30,notice,0,,189,root,17,,,FG100FTK23080008,lan,,0,0,0,local,00:9c:02:04:cf:a8,Fiorucci-FG-01,root,,0,local-in-policy6,,,undefined,unscanned,,DHCP6,546,0001000014,,11:54:42,0,0,2025-10-01T00:03:34,DHCP6,LaserJet,Printer,M4555,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18cVnZkBOc1mRMCtBKEh,2025-09-30,0,172.30.19.117,443,+0200,1759226081953518049,409864543,traffic,Reserved,web-limit,dc:fb:48:28:2a:71,close,20.231.131.224,snat,Windows,VLAN60,notice,0,2.117.144.115,189,root,6,Navigazione,Italy,FG100FTK23080008,lan,cb2c5284-4f32-51ef-a5ee-7792f7896b30,13,2,9,forward,dc:fb:48:28:2a:71,Fiorucci-FG-01,wan1,web-limit,4891,policy,51703,0,wan,unscanned,ITPOME-LT146,HTTPS,51703,0000000013,10,11:54:42,5355,13,2025-10-01T00:03:44,,,,,,kerberos,Attilio.Mignani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2McVnZkBOc1mRMCtBKEh,2025-09-30,,,,+0200,1759226081341830877,,event,,,,,,,,,information,,,190,root,,,,FG200ETK18902811,,,,,,ha,,FortiGate-200E,,,,,,,,,,,,0108037903,,11:54:42,,,2025-10-01T00:03:44,,,,,,,,The,configurations,Synchronization,in-sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ccVnZkBOc1mRMCtK6FD,2025-09-30,,192.168.39.102,9200,+0200,1759225537238884000,803356195,traffic,Reserved,,24:2f:fa:38:02:07,client-rst,23.88.7.85,snat,Windows,PROGRESS,notice,0,2.33.53.52,189,root,6,LOG_INTERNET,United,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,7,5,33,forward,24:2f:fa:38:02:07,CAPALDO_MANOCALZATI,wan1,,816,policy,63907,,wan,unscanned,AVPOS002,tcp/9200,63907,0000000013,10,11:45:37,2721,7,2025-10-01T00:03:54,,Network,Network,,Toshiba,,,,,,,1,allow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8scVnZkBOc1mRMCtK6FD,2025-09-30,,192.168.38.16,80,+0200,1759225537208887960,803356180,traffic,Reserved,,d0:27:88:8a:d5:0a,client-rst,87.248.119.252,snat,Windows,PROGRESS-AT,notice,0,2.33.53.52,189,root,6,LOG_INTERNET,Germany,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,6,5,33,forward,d0:27:88:8a:d5:0a,CAPALDO_MANOCALZATI,wan1,,605,policy,55401,,wan,unscanned,ATBAGNO,HTTP,55401,0000000013,7,11:45:37,4904,6,2025-10-01T00:03:54,,,,,Hon,kerberos,arredobaat,,,,,1,allow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FccVnZkBOc1mRMCtUqJJ,2025-09-30,,fe80::578c:46ab:214d:c167,3702,+0200,1759226081916928964,76372163,traffic,,,,deny,ff02::c,noop,,lan,notice,,,189,root,17,,,FGT40FTK2209DDTF,lan,,0,0,0,local,,FwAutostazione,root,,0,local-in-policy6,,,undefined,unscanned,,MMS,64448,0001000014,,11:54:42,0,0,2025-10-01T00:04:04,MMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8cVnZkBOc1mRMCtUqI_,2025-09-30,,192.168.39.167,443,+0200,1759225537764299320,803356882,utm,Reserved,,,passthrough,17.253.122.196,,,PROGRESS,notice,,,189,root,6,,United,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,,,33,webfilter,,CAPALDO_MANOCALZATI,wan1,,1536,policy,,,wan,,,HTTPS,58969,0317013312,,11:45:37,0,,2025-10-01T00:04:04,,,,,,,,URL,,,,,,bf9fc234-303e-51ee-8c56-e39babfc0025,bf9fc234-303e-51ee-8c56-e39babfc0025,Information,cl2.apple.com,direct,52,outgoing,domain,monitor-all,https://cl2.apple.com/,ftgd_allow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMcVnZkBOc1mRMCteaJc,2025-09-30,,193.94.70.171,,+0200,1759226082024174784,,utm,,,,permit,193.94.10.2,,,,information,,,190,root,17,,,FGT40FTK2209DDTF,,,,0,,voip,,FwAutostazione,,,,,,,,,,,,0814044032,,11:54:42,,,2025-10-01T00:04:14,,,,,,,,,,,,,,,,,,,,,,default,,voip,lan,13,0,session_origin,AirPDRF,sip:423@423,sip,register,1044717734,224345751139926-24883834055341@193.94.70.171,5060,53286,5060,voipd,sip:423@423,succeeded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MccVnZkBOc1mRMCteaJc,2025-09-30,,193.94.70.171,,+0200,1759226081990519684,,utm,,,,permit,193.94.10.2,,,,information,,,190,root,17,,,FGT40FTK2209DDTF,,,,0,,voip,,FwAutostazione,,,,,,,,,,,,0814044032,,11:54:42,,,2025-10-01T00:04:14,,,,,,,,,,,,,,,,,,,,,,default,,voip,lan,13,0,session_origin,AirPDRF,sip:423@423,sip,register,1044717734,224345751139926-24883834055341@193.94.70.171,5060,53285,5060,voipd,sip:423@423,authentication-required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
