source,device_id,date,events_raw,events_after_day_filter,total_events,bytes_total,bytes_per_event,unique_src_ip,unique_dst_ip,action_accept_count,action_accept_rate,action_deny_count,action_deny_rate,action_client-rst_count,action_client-rst_rate,action_server-rst_count,action_server-rst_rate,action_timeout_count,action_timeout_rate,action_passthrough_count,action_passthrough_rate,unique_proto,unique_service,unique_policy,unique_user
fortigate,FG100E4Q17018934,2025-09-21,34556.0,34556.0,274.0,232922.0,850.0802919708029,4.0,6.0,218.0,0.7956204379562044,0.0,0.0,0.0,0.0,2.0,0.0072992700729927005,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-22,34560.0,34560.0,236.0,225996.0,957.6101694915254,4.0,5.0,170.0,0.7203389830508474,0.0,0.0,0.0,0.0,2.0,0.00847457627118644,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-23,34556.0,34556.0,202.0,161166.0,797.8514851485148,4.0,8.0,170.0,0.8415841584158416,0.0,0.0,0.0,0.0,4.0,0.019801980198019802,2.0,0.009900990099009901,0.0,0.0,3.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-24,34560.0,34560.0,226.0,200400.0,886.7256637168142,4.0,5.0,166.0,0.7345132743362832,0.0,0.0,0.0,0.0,2.0,0.008849557522123894,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-25,34556.0,34556.0,238.0,238854.0,1003.5882352941177,5.0,7.0,196.0,0.8235294117647058,0.0,0.0,0.0,0.0,2.0,0.008403361344537815,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-26,34560.0,34560.0,266.0,251422.0,945.1954887218045,5.0,6.0,198.0,0.7443609022556391,0.0,0.0,0.0,0.0,2.0,0.007518796992481203,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-27,34560.0,34560.0,226.0,164656.0,728.566371681416,4.0,8.0,192.0,0.8495575221238938,0.0,0.0,0.0,0.0,2.0,0.008849557522123894,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-28,34556.0,34556.0,272.0,232812.0,855.9264705882352,6.0,12.0,210.0,0.7720588235294118,0.0,0.0,0.0,0.0,8.0,0.029411764705882353,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-29,34560.0,34560.0,244.0,228548.0,936.672131147541,3.0,5.0,190.0,0.7786885245901639,0.0,0.0,0.0,0.0,2.0,0.00819672131147541,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-09-30,34556.0,34556.0,162.0,170732.0,1053.9012345679012,5.0,6.0,124.0,0.7654320987654321,0.0,0.0,0.0,0.0,2.0,0.012345679012345678,2.0,0.012345679012345678,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-01,34560.0,34560.0,212.0,236310.0,1114.6698113207547,5.0,7.0,150.0,0.7075471698113207,0.0,0.0,0.0,0.0,6.0,0.02830188679245283,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-02,34556.0,34556.0,214.0,178164.0,832.5420560747664,6.0,8.0,152.0,0.7102803738317757,0.0,0.0,0.0,0.0,22.0,0.102803738317757,2.0,0.009345794392523364,0.0,0.0,2.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-03,34560.0,34560.0,242.0,287340.0,1187.3553719008264,6.0,11.0,140.0,0.5785123966942148,0.0,0.0,0.0,0.0,24.0,0.09917355371900827,16.0,0.06611570247933884,0.0,0.0,3.0,5.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-04,34556.0,34556.0,288.0,195190.0,677.7430555555555,5.0,7.0,196.0,0.6805555555555556,0.0,0.0,0.0,0.0,30.0,0.10416666666666667,22.0,0.0763888888888889,0.0,0.0,3.0,5.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-05,34560.0,34560.0,344.0,373306.0,1085.1918604651162,6.0,7.0,224.0,0.6511627906976745,0.0,0.0,0.0,0.0,30.0,0.0872093023255814,8.0,0.023255813953488372,0.0,0.0,2.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-06,34556.0,34556.0,294.0,241048.0,819.8911564625851,6.0,6.0,190.0,0.6462585034013606,0.0,0.0,0.0,0.0,28.0,0.09523809523809523,16.0,0.05442176870748299,0.0,0.0,2.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-07,34560.0,34560.0,318.0,320388.0,1007.5094339622641,5.0,8.0,216.0,0.6792452830188679,0.0,0.0,0.0,0.0,46.0,0.14465408805031446,14.0,0.0440251572327044,0.0,0.0,2.0,5.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-08,34556.0,34556.0,266.0,381838.0,1435.4812030075188,7.0,13.0,188.0,0.706766917293233,0.0,0.0,0.0,0.0,20.0,0.07518796992481203,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-09,34560.0,34560.0,168.0,107902.0,642.2738095238095,4.0,4.0,138.0,0.8214285714285714,0.0,0.0,0.0,0.0,2.0,0.011904761904761904,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-10,34556.0,34556.0,202.0,231078.0,1143.950495049505,3.0,6.0,154.0,0.7623762376237624,0.0,0.0,0.0,0.0,6.0,0.0297029702970297,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-11,34560.0,34560.0,286.0,248436.0,868.6573426573426,4.0,8.0,224.0,0.7832167832167832,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.006993006993006993,0.0,0.0,3.0,4.0,1.0,0.0
fortigate,FG100E4Q17018934,2025-10-12,34556.0,34556.0,248.0,205530.0,828.75,4.0,6.0,196.0,0.7903225806451613,0.0,0.0,0.0,0.0,6.0,0.024193548387096774,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
