source,device_id,date,score,voted_features,iforest_score,label
watchguard,8014036CB2D0A,2025-10-17,0.0,0,0.04633496360638517,NORMAL
watchguard,8014036CB2D0A,2025-10-18,0.0,0,0.04239967682007095,NORMAL
watchguard,8014036CB2D0A,2025-10-19,0.0,0,-0.023610272589752457,NORMAL
watchguard,8014036CB2D0A,2025-10-20,0.0,0,0.01982640510222411,NORMAL
watchguard,8014036CB2D0A,2025-10-21,0.0,0,0.018955301244226397,NORMAL
watchguard,801404C53C7FC,2025-10-17,2.0,1,-0.03456715633951035,STRONG
watchguard,801404C53C7FC,2025-10-18,0.0,0,0.02156308887551217,NORMAL
watchguard,801404C53C7FC,2025-10-19,0.0,0,-0.00492262873333682,NORMAL
watchguard,801404C53C7FC,2025-10-20,0.0,0,0.02147262189284238,NORMAL
watchguard,801404C53C7FC,2025-10-21,2.0,1,0.012237448165017373,STRONG
watchguard,80140A461E0D7,2025-10-17,0.0,0,0.09876924410610272,NORMAL
watchguard,80140A461E0D7,2025-10-18,1.5,2,-0.07016724949264375,STRONG
watchguard,80140A461E0D7,2025-10-19,1.0,1,-0.02136728085521078,MEDIUM
watchguard,80140A461E0D7,2025-10-20,0.0,0,0.10410466928839968,NORMAL
watchguard,80140A461E0D7,2025-10-21,1.0,1,0.06605397241943345,MEDIUM
watchguard,80DE037908ED6,2025-10-17,2.0,1,0.10073999213367307,STRONG
watchguard,80DE037908ED6,2025-10-18,0.0,0,0.08557484698379492,NORMAL
watchguard,80DE037908ED6,2025-10-19,1.5,2,-0.06968484176892842,STRONG
watchguard,80DE037908ED6,2025-10-20,0.0,0,0.08063890007182589,NORMAL
watchguard,80DE037908ED6,2025-10-21,0.0,0,-0.04522952790644963,NORMAL
watchguard,80DE071CE38D5,2025-10-17,0.0,0,0.0761266854050549,NORMAL
watchguard,80DE071CE38D5,2025-10-18,1.0,1,-0.05723474219395719,MEDIUM
watchguard,80DE071CE38D5,2025-10-19,0.0,0,-0.04509113256617092,NORMAL
watchguard,80DE071CE38D5,2025-10-20,1.0,1,-0.016632539435524785,MEDIUM
watchguard,80DE071CE38D5,2025-10-21,0.0,0,0.05681557781782742,NORMAL
watchguard,C039042A3F3BF,2025-10-17,0.0,0,0.049653749924061796,NORMAL
watchguard,C039042A3F3BF,2025-10-18,0.0,0,-0.04081145381205664,NORMAL
watchguard,C039042A3F3BF,2025-10-19,1.0,1,-0.03651620034049452,MEDIUM
watchguard,C039042A3F3BF,2025-10-20,1.0,1,-0.015308912924417273,MEDIUM
watchguard,C039042A3F3BF,2025-10-21,2.0,1,0.0296355070305675,STRONG
watchguard,watchguard_unknown,2025-10-17,0.0,0,0.08852562813772319,NORMAL
watchguard,watchguard_unknown,2025-10-18,1.0,1,0.03252878892612582,MEDIUM
watchguard,watchguard_unknown,2025-10-19,2.0,1,-0.01673527790270979,STRONG
watchguard,watchguard_unknown,2025-10-20,1.3333333333333333,3,-0.045313427265541883,MEDIUM
watchguard,watchguard_unknown,2025-10-21,2.0,1,0.006316277257075342,STRONG
