source,device_id,date,events_raw,events_after_day_filter,total_events,bytes_total,bytes_per_event,unique_src_ip,unique_dst_ip,action_accept_count,action_accept_rate,action_deny_count,action_deny_rate,action_client-rst_count,action_client-rst_rate,action_server-rst_count,action_server-rst_rate,action_timeout_count,action_timeout_rate,action_passthrough_count,action_passthrough_rate,unique_proto,unique_service,unique_policy,unique_user
watchguard,8014036CB2D0A,2025-09-21,172700.0,160786.0,40002.0,260432942.0,6510.498025098745,1814.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,68.0,0.0
watchguard,8014036CB2D0A,2025-09-23,172698.0,160927.0,36802.0,537005028.0,14591.734905711646,1260.0,2112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,72.0,0.0
watchguard,8014036CB2D0A,2025-09-24,172696.0,161468.0,36332.0,465709366.0,12818.159363646373,1476.0,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,74.0,0.0
watchguard,8014036CB2D0A,2025-09-25,172696.0,160518.0,35735.0,329011025.0,9206.968658178257,1467.0,1739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,72.0,0.0
watchguard,8014036CB2D0A,2025-09-26,172698.0,159982.0,36327.0,320399676.0,8819.877116194566,1296.0,1912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,71.0,0.0
watchguard,8014036CB2D0A,2025-09-28,172698.0,158717.0,38438.0,852907372.0,22189.171444924294,1317.0,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,66.0,0.0
watchguard,8014036CB2D0A,2025-09-29,172698.0,159207.0,37531.0,486709840.0,12968.208680823853,1171.0,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,71.0,0.0
watchguard,8014036CB2D0A,2025-09-30,172696.0,159860.0,38340.0,313182264.0,8168.551486697966,1263.0,1836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,72.0,0.0
watchguard,8014036CB2D0A,2025-10-01,345396.0,320800.0,72518.0,997602920.0,13756.624837971262,1237.0,1944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,67.0,0.0
watchguard,8014036CB2D0A,2025-10-02,345396.0,320444.0,73770.0,488077656.0,6616.207889385929,1235.0,1862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,68.0,0.0
watchguard,8014036CB2D0A,2025-10-03,345396.0,319944.0,75818.0,430152380.0,5673.4862433722865,1303.0,1987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,74.0,0.0
watchguard,8014036CB2D0A,2025-10-04,345392.0,318026.0,83926.0,531025786.0,6327.309606081548,1484.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,69.0,0.0
watchguard,8014036CB2D0A,2025-10-05,345388.0,318294.0,79654.0,368851924.0,4630.676726843599,1557.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,69.0,0.0
watchguard,8014036CB2D0A,2025-10-06,345392.0,319732.0,70458.0,785418070.0,11147.322802236793,1372.0,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,73.0,0.0
watchguard,8014036CB2D0A,2025-10-07,345392.0,320160.0,74124.0,1087622346.0,14673.012060870973,1439.0,1897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,75.0,0.0
watchguard,8014036CB2D0A,2025-10-08,345392.0,318960.0,77750.0,2314549120.0,29769.120514469454,1305.0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,71.0,0.0
watchguard,8014036CB2D0A,2025-10-09,345392.0,319926.0,75408.0,927971376.0,12306.007001909611,1462.0,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,73.0,0.0
watchguard,8014036CB2D0A,2025-10-10,345388.0,322676.0,65464.0,790341708.0,12072.921116949774,1358.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,69.0,0.0
watchguard,8014036CB2D0A,2025-10-11,345396.0,320508.0,82208.0,7475962770.0,90939.60162028027,1604.0,1638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,65.0,0.0
watchguard,8014036CB2D0A,2025-10-12,172696.0,159794.0,42580.0,458816191.0,10775.391991545326,1469.0,1611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,66.0,0.0
watchguard,8014036CB2D0A,2025-10-13,172696.0,159464.0,37374.0,451935373.0,12092.239872638733,1414.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,73.0,0.0
watchguard,8014036CB2D0A,2025-10-14,172698.0,158695.0,35159.0,309154704.0,8793.045991069142,1615.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,75.0,0.0
watchguard,8014036CB2D0A,2025-10-15,172692.0,160122.0,32803.0,531200538.0,16193.657226473188,1313.0,1794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,68.0,0.0
watchguard,8014036CB2D0A,2025-10-16,172696.0,160879.0,34351.0,536255711.0,15611.065500276556,1380.0,1836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,76.0,0.0
watchguard,8014036CB2D0A,2025-10-17,172692.0,161670.0,31175.0,354362210.0,11366.871210906174,1298.0,1649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,70.0,0.0
watchguard,8014036CB2D0A,2025-10-18,172694.0,159944.0,41088.0,352991322.0,8591.104994158879,1475.0,1481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,72.0,0.0
watchguard,8014036CB2D0A,2025-10-19,345384.0,319764.0,87122.0,376150098.0,4317.509905649549,1510.0,1513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,70.0,0.0
watchguard,8014036CB2D0A,2025-10-20,345388.0,320428.0,77998.0,596697316.0,7650.161747737122,1468.0,2102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,72.0,0.0
watchguard,8014036CB2D0A,2025-10-21,186572.0,176189.0,45323.0,250839300.0,5534.481389140172,1227.0,1588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,70.0,0.0
watchguard,801404C53C7FC,2025-09-21,172700.0,160786.0,4673.0,11840238.0,2533.7551893858335,642.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,14.0,0.0
watchguard,801404C53C7FC,2025-09-23,172698.0,160927.0,19760.0,26532203.0,1342.7228238866396,764.0,2297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,24.0,0.0
watchguard,801404C53C7FC,2025-09-24,172696.0,161468.0,21526.0,150897457.0,7010.009151723497,711.0,2471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,22.0,0.0
watchguard,801404C53C7FC,2025-09-25,172696.0,160518.0,20984.0,25259633.0,1203.756814715974,779.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,23.0,0.0
watchguard,801404C53C7FC,2025-09-26,172698.0,159982.0,17288.0,276902995.0,16017.063570106433,766.0,1961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,22.0,0.0
watchguard,801404C53C7FC,2025-09-28,172698.0,158717.0,5157.0,12853467.0,2492.431064572426,615.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,0.0
watchguard,801404C53C7FC,2025-09-29,172698.0,159207.0,19876.0,67611982.0,3401.689575367277,779.0,2147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.0,0.0
watchguard,801404C53C7FC,2025-09-30,172696.0,159860.0,20608.0,30204500.0,1465.6686723602484,775.0,2208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0
watchguard,801404C53C7FC,2025-10-01,345396.0,320800.0,42874.0,42443722.0,989.9641274432057,715.0,2175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,22.0,0.0
watchguard,801404C53C7FC,2025-10-02,345396.0,320444.0,41472.0,25737908.0,620.6092785493827,766.0,2189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.0,0.0
